09-02 17:55:37:621    encoder1_count:28
09-02 17:55:37:636    encoder1_count:28
09-02 17:55:37:652    encoder1_count:28
09-02 17:55:37:653    encoder1_count:28
09-02 17:55:37:668    encoder1_count:28
09-02 17:55:37:684    encoder1_count:28
09-02 17:55:37:686    encoder1_count:28
09-02 17:55:37:700    encoder1_count:28
09-02 17:55:37:715    encoder1_count:28
09-02 17:55:37:718    encoder1_count:28
09-02 17:55:37:732    encoder1_count:28
09-02 17:55:37:748    encoder1_count:28
09-02 17:55:37:750    encoder1_count:28
09-02 17:55:37:764    encoder1_count:28
09-02 17:55:37:780    encoder1_count:28
09-02 17:55:37:782    encoder1_count:28
09-02 17:55:37:796    encoder1_count:28
09-02 17:55:37:827    encoder1_count:28
09-02 17:55:37:828    encoder1_count:28
09-02 17:55:37:828    encoder1_count:28
09-02 17:55:37:845    encoder1_count:28
09-02 17:55:37:846    encoder1_count:28
09-02 17:55:37:860    encoder1_count:28
09-02 17:55:37:876    encoder1_count:25
09-02 17:55:37:878    encoder1_count:26
09-02 17:55:37:893    encoder1_count:20
09-02 17:55:37:908    encoder1_count:20
09-02 17:55:37:910    encoder1_count:21
09-02 17:55:37:924    encoder1_count:19
09-02 17:55:37:940    encoder1_count:19
09-02 17:55:37:942    encoder1_count:19
09-02 17:55:37:956    encoder1_count:17
09-02 17:55:37:973    encoder1_count:16
09-02 17:55:37:974    encoder1_count:16
09-02 17:55:37:988    encoder1_count:16
09-02 17:55:38:004    encoder1_count:16
09-02 17:55:38:006    encoder1_count:16
09-02 17:55:38:020    encoder1_count:16
09-02 17:55:38:036    encoder1_count:16
09-02 17:55:38:038    encoder1_count:16
09-02 17:55:38:074    encoder1_count:16
09-02 17:55:38:074    encoder1_count:16
09-02 17:55:38:075    encoder1_count:16
09-02 17:55:38:085    encoder1_count:16
09-02 17:55:38:100    encoder1_count:16
09-02 17:55:38:102    encoder1_count:16
09-02 17:55:38:117    encoder1_count:16
09-02 17:55:38:133    encoder1_count:16
09-02 17:55:38:135    encoder1_count:16
09-02 17:55:38:149    encoder1_count:16
09-02 17:55:38:165    encoder1_count:16
09-02 17:55:38:167    encoder1_count:16
09-02 17:55:38:180    encoder1_count:16
09-02 17:55:38:196    encoder1_count:16
09-02 17:55:38:198    encoder1_count:16
09-02 17:55:38:213    encoder1_count:16
09-02 17:55:38:229    encoder1_count:16
09-02 17:55:38:231    encoder1_count:16
09-02 17:55:38:245    encoder1_count:16
09-02 17:55:38:261    encoder1_count:16
09-02 17:55:38:263    encoder1_count:16
09-02 17:55:38:276    encoder1_count:16
09-02 17:55:38:303    encoder1_count:16
09-02 17:55:38:303    encoder1_count:16
09-02 17:55:38:308    encoder1_count:16
09-02 17:55:38:325    encoder1_count:16
09-02 17:55:38:326    encoder1_count:16
09-02 17:55:38:341    encoder1_count:16
09-02 17:55:38:357    encoder1_count:16
09-02 17:55:38:359    encoder1_count:16
09-02 17:55:38:373    encoder1_count:16
09-02 17:55:38:389    encoder1_count:16
09-02 17:55:38:391    encoder1_count:16
09-02 17:55:38:405    encoder1_count:16
09-02 17:55:38:421    encoder1_count:16
09-02 17:55:38:423    encoder1_count:16
09-02 17:55:38:438    encoder1_count:16
09-02 17:55:38:453    encoder1_count:16
09-02 17:55:38:455    encoder1_count:16
09-02 17:55:38:469    encoder1_count:16
09-02 17:55:38:485    encoder1_count:16
09-02 17:55:38:487    encoder1_count:16
09-02 17:55:38:502    encoder1_count:16
09-02 17:55:38:523    encoder1_count:16
09-02 17:55:38:523    encoder1_count:16
09-02 17:55:38:533    encoder1_count:16
09-02 17:55:38:550    encoder1_count:16
09-02 17:55:38:552    encoder1_count:16
09-02 17:55:38:565    encoder1_count:16
09-02 17:55:38:582    encoder1_count:16
09-02 17:55:38:583    encoder1_count:16
09-02 17:55:38:598    encoder1_count:16
09-02 17:55:38:613    encoder1_count:16
09-02 17:55:38:615    encoder1_count:16
09-02 17:55:38:629    encoder1_count:16
09-02 17:55:38:646    encoder1_count:16
09-02 17:55:38:648    encoder1_count:16
09-02 17:55:38:662    encoder1_count:16
09-02 17:55:38:677    encoder1_count:16
09-02 17:55:38:679    encoder1_count:16
09-02 17:55:38:693    encoder1_count:16
09-02 17:55:38:709    encoder1_count:16
09-02 17:55:38:711    encoder1_count:16
09-02 17:55:38:725    encoder1_count:21
09-02 17:55:38:756    encoder1_count:31
09-02 17:55:38:758    encoder1_count:30
09-02 17:55:38:758    encoder1_count:32
09-02 17:55:38:773    encoder1_count:33
09-02 17:55:38:775    encoder1_count:33
09-02 17:55:38:789    encoder1_count:34
09-02 17:55:38:805    encoder1_count:34
09-02 17:55:38:807    encoder1_count:34
09-02 17:55:38:822    encoder1_count:34
09-02 17:55:38:838    encoder1_count:34
09-02 17:55:38:840    encoder1_count:34
09-02 17:55:38:854    encoder1_count:34
09-02 17:55:38:870    encoder1_count:34
09-02 17:55:38:872    encoder1_count:34
09-02 17:55:38:886    encoder1_count:34
09-02 17:55:38:902    encoder1_count:34
09-02 17:55:38:904    encoder1_count:34
09-02 17:55:38:918    encoder1_count:34
09-02 17:55:38:933    encoder1_count:34
09-02 17:55:38:936    encoder1_count:34
09-02 17:55:38:950    encoder1_count:34
09-02 17:55:38:966    encoder1_count:34
09-02 17:55:38:998    encoder1_count:34
09-02 17:55:38:998    encoder1_count:34
09-02 17:55:38:998    encoder1_count:34
09-02 17:55:38:999    encoder1_count:34
09-02 17:55:39:014    encoder1_count:34
09-02 17:55:39:030    encoder1_count:34
09-02 17:55:39:032    encoder1_count:34
09-02 17:55:39:046    encoder1_count:34
09-02 17:55:39:062    encoder1_count:34
09-02 17:55:39:064    encoder1_count:34
09-02 17:55:39:078    encoder1_count:34
09-02 17:55:39:094    encoder1_count:34
09-02 17:55:39:096    encoder1_count:34
09-02 17:55:39:110    encoder1_count:34
09-02 17:55:39:126    encoder1_count:34
09-02 17:55:39:129    encoder1_count:34
09-02 17:55:39:143    encoder1_count:34
09-02 17:55:39:158    encoder1_count:34
09-02 17:55:39:160    encoder1_count:34
09-02 17:55:39:174    encoder1_count:34
09-02 17:55:39:190    encoder1_count:34
09-02 17:55:39:192    encoder1_count:34
09-02 17:55:39:206    encoder1_count:34
09-02 17:55:39:222    encoder1_count:34
09-02 17:55:39:251    encoder1_count:34
09-02 17:55:39:251    encoder1_count:34
09-02 17:55:39:254    encoder1_count:34
09-02 17:55:39:257    encoder1_count:34
09-02 17:55:39:270    encoder1_count:34
09-02 17:55:39:286    encoder1_count:34
09-02 17:55:39:289    encoder1_count:34
09-02 17:55:39:303    encoder1_count:34
09-02 17:55:39:318    encoder1_count:34
09-02 17:55:39:320    encoder1_count:34
09-02 17:55:39:335    encoder1_count:34
09-02 17:55:39:351    encoder1_count:34
09-02 17:55:39:353    encoder1_count:34
09-02 17:55:39:367    encoder1_count:34
09-02 17:55:39:383    encoder1_count:34
09-02 17:55:39:385    encoder1_count:34
09-02 17:55:39:399    encoder1_count:34
09-02 17:55:39:415    encoder1_count:34
09-02 17:55:39:417    encoder1_count:34
09-02 17:55:39:431    encoder1_count:34
09-02 17:55:39:447    encoder1_count:34
09-02 17:55:39:448    encoder1_count:34
09-02 17:55:39:465    encoder1_count:34
09-02 17:55:39:486    encoder1_count:34
09-02 17:55:39:486    encoder1_count:34
09-02 17:55:39:495    encoder1_count:34
09-02 17:55:39:511    encoder1_count:34
